,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
102,1882,PH4,PHA,3,,,,Philadelphia Athletics,Oakdale Park,110,110
103,1882,PRO,PRO,2,,,,Providence Grays,Messer Street Grounds,100,98
104,1882,PT1,PIT,4,,,,Pittsburg Alleghenys,Exposition Park I,100,99
105,1882,SL4,STL,5,,,,St. Louis Brown Stockings,Sportsman's Park I,104,104
106,1882,TRN,TRT,7,,,,Troy Trojans,Troy Ball Club Grounds,95,98
107,1882,WOR,WOR,8,,,,Worcester Ruby Legs,Worcester Driving Park Grounds,102,107
108,1883,BFN,BUF,5,,,,Buffalo Bisons,Riverside Park,102,101
109,1883,BL2,BLO,8,,,,Baltimore Orioles,Oriole Park,103,105
110,1883,BSN,ATL,1,,,,Boston Beaneaters,South End Grounds I,102,98
111,1883,CHN,CHC,2,,,,Chicago White Stockings,Lake Front Park II,108,105
112,1883,CL2,CBL,4,,,,Cleveland Blues,Kennard Street Park,99,100
113,1883,CL5,CBK,6,,,,Columbus Buckeyes,Recreation Park I,92,93
114,1883,CN2,CIN,3,,,,Cincinnati Red Stockings,Bank Street Grounds,106,99
115,1883,DTN,DTN,7,,,,Detroit Wolverines,Recreation Park,95,99
116,1883,LS2,LOU,5,,,,Louisville Eclipse,Eclipse Park I,93,91
117,1883,NY1,SFG,6,,,,New York Gothams,Polo Grounds I,99,99
118,1883,NY4,NYP,4,,,,New York Metropolitans,Polo Grounds I West Diamond,109,106
119,1883,PH4,PHA,1,,,,Philadelphia Athletics,Jefferson Street Grounds,108,105
120,1883,PHI,PHI,8,,,,Philadelphia Quakers,Recreation Park,91,98
121,1883,PRO,PRO,3,,,,Providence Grays,Messer Street Grounds,103,99
122,1883,PT1,PIT,7,,,,Pittsburg Alleghenys,Exposition Park I,94,98
123,1883,SL4,STL,2,,,,St. Louis Browns,Sportsman's Park I,106,106
124,1884,ALT,ALT,10,,,,Altoona Mountain City,,101,109
125,1884,BFN,BUF,3,,,N,Buffalo Bisons,Olympic Park I,103,105
126,1884,BL2,BLO,6,,,N,Baltimore Orioles,Oriole Park,104,107
127,1884,BLU,BLU,4,,,,Baltimore Monumentals,,109,109
128,1884,BR3,LAD,9,,,N,Brooklyn Atlantics,Washington Park I,100,102
129,1884,BSN,ATL,2,,,N,Boston Beaneaters,South End Grounds I,99,97
130,1884,BSU,BRD,5,,,,Boston Reds,,99,98
131,1884,CHN,CHC,5,,,N,Chicago White Stockings,Lake Front Park II,108,105
132,1884,CHU,CPI,6,,,,Chicago/Pittsburgh (Union League),,98,99
133,1884,CL2,CBL,7,,,N,Cleveland Blues,Kennard Street Park,103,106
134,1884,CL5,CBK,2,,,N,Columbus Buckeyes,Recreation Park I,92,93
135,1884,CN2,CIN,5,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,104,102
136,1884,CNU,COR,3,,,,Cincinnati Outlaw Reds,,111,107
137,1884,DTN,DTN,8,,,N,Detroit Wolverines,Recreation Park,94,97
138,1884,IN2,IHO,12,,,N,Indianapolis Hoosiers,Seventh Street Park,97,100
139,1884,KCU,KCU,11,,,,Kansas City Cowboys,,87,92
140,1884,LS2,LOU,3,,,N,Louisville Eclipse,Eclipse Park I,95,95
141,1884,MLU,MLU,2,,,,Milwaukee Brewers,,60,60
142,1884,NY1,SFG,4,,,N,New York Gothams,Polo Grounds I,105,102
143,1884,NY4,NYP,1,,,N,New York Metropolitans,Polo Grounds I West Diamond,100,96
144,1884,PH4,PHA,7,,,N,Philadelphia Athletics,Jefferson Street Grounds,107,104
145,1884,PHI,PHI,6,,,N,Philadelphia Quakers,Recreation Park,94,99
146,1884,PHU,PHK,8,,,,Philadelphia Keystones,,91,94
147,1884,PRO,PRO,1,,,Y,Providence Grays,Messer Street Grounds,99,96
148,1884,PT1,PIT,11,,,N,Pittsburg Alleghenys,Recreation Park,97,101
149,1884,RIC,RIC,10,,,N,Richmond Virginians,Allen Pasture,99,102
150,1884,SL4,STL,4,,,N,St. Louis Browns,Sportsman's Park I,104,101
151,1884,SLU,SLM,1,,,,St. Louis Maroons,,99,98
152,1884,SPU,STP,9,,,,St. Paul White Caps,,60,60
153,1884,TL1,TOL,8,,,N,Toledo Blue Stockings,League Park,103,105
154,1884,WIL,WIL,12,,,,Wilmington Quicksteps,,103,109
155,1884,WS7,WST,13,,,N,Washington Nationals,Athletic Park,88,93
156,1884,WSU,WNA,7,,,,Washington Nationals,,96,98
157,1885,BFN,BUF,7,,,N,Buffalo Bisons,Olympic Park I,103,105
158,1885,BL2,BLO,8,,,N,Baltimore Orioles,Oriole Park,99,100
159,1885,BR3,LAD,5,,,N,Brooklyn Grays,Washington Park I,100,102
160,1885,BSN,ATL,5,,,N,Boston Beaneaters,South End Grounds I,96,95
161,1885,CHN,CHC,1,,,N,Chicago White Stockings,West Side Park I,114,107
162,1885,CN2,CIN,2,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,102,100
163,1885,DTN,DTN,6,,,N,Detroit Wolverines,Recreation Park,100,101
164,1885,LS2,LOU,6,,,N,Louisville Colonels,Eclipse Park I,100,100
165,1885,NY1,SFG,2,,,N,New York Giants,Polo Grounds I,101,97
166,1885,NY4,NYP,7,,,N,New York Metropolitans,Polo Grounds I West Diamond,84,86
167,1885,PH4,PHA,4,,,N,Philadelphia Athletics,Jefferson Street Grounds,106,106
168,1885,PHI,PHI,3,,,N,Philadelphia Quakers,Recreation Park,97,98
169,1885,PRO,PRO,4,,,N,Providence Grays,Messer Street Grounds,97,95
170,1885,PT1,PIT,3,,,N,Pittsburg Alleghenys,Recreation Park,100,99
171,1885,SL4,STL,1,,,N,St. Louis Browns,Sportsman's Park I,105,101
172,1885,SL5,SLM,8,,,N,St. Louis Maroons,Sportsman's Park I,97,98
173,1886,BL2,BLO,8,,,N,Baltimore Orioles,Oriole Park,98,99
174,1886,BR3,LAD,3,,,N,Brooklyn Grays,Washington Park I,100,100
175,1886,BSN,ATL,5,,,N,Boston Beaneaters,South End Grounds I,97,97
176,1886,CHN,CHC,1,,,N,Chicago White Stockings,West Side Park I,114,109
177,1886,CN2,CIN,5,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,103,102
178,1886,DTN,DTN,2,,,N,Detroit Wolverines,Recreation Park,103,100
179,1886,KCN,KCN,7,,,N,Kansas City Cowboys,Association Park,106,114
180,1886,LS2,LOU,4,,,N,Louisville Colonels,Eclipse Park I,106,106
181,1886,NY1,SFG,3,,,N,New York Giants,Polo Grounds I,103,99
182,1886,NY4,NYP,7,,,N,New York Metropolitans,St. George Cricket Grounds,96,100
183,1886,PH4,PHA,6,,,N,Philadelphia Athletics,Jefferson Street Grounds,101,102
184,1886,PHI,PHI,4,,,N,Philadelphia Quakers,Recreation Park,100,99
185,1886,PT1,PIT,2,,,N,Pittsburg Alleghenys,Recreation Park,98,97
